{'r_arm': 105.19248255242785},{'l_arm': 77.49815972190157},{'r_leg': 155.267051462377},{'l_leg': 118.9462136505312},{'r_shoulder': 84.71804823227295},{'l_shoulder': 41.09337605622034},{'r_hip': 155.7558240401198},{'l_hip': 151.02519662972026},front
{'r_arm': 116.5851422338991},{'l_arm': 89.05265542992822},{'r_leg': 155.93753545164896},{'l_leg': 104.8157501958888},{'r_shoulder': 103.91545771297511},{'l_shoulder': 69.46210886286349},{'r_hip': 160.52731528792302},{'l_hip': 138.53805296683282},front
{'r_arm': 119.31464521646438},{'l_arm': 105.82069998993943},{'r_leg': 165.33173109121086},{'l_leg': 128.2390973334591},{'r_shoulder': 114.042619105371},{'l_shoulder': 87.05775501535639},{'r_hip': 160.3901516111146},{'l_hip': 155.8101900006932},front
{'r_arm': 120.30654936012351},{'l_arm': 103.2962372524814},{'r_leg': 160.0256524173911},{'l_leg': 120.25039074085308},{'r_shoulder': 113.50721265333807},{'l_shoulder': 87.52780336112234},{'r_hip': 162.02258346374052},{'l_hip': 145.82226151032071},front
{'r_arm': 121.05130099672604},{'l_arm': 99.50919569412831},{'r_leg': 159.69786573585736},{'l_leg': 114.65141275145683},{'r_shoulder': 112.93568331356848},{'l_shoulder': 87.13450143548856},{'r_hip': 162.689985630995},{'l_hip': 139.7817127152211},front
{'r_arm': 123.12864075622755},{'l_arm': 103.00268193801745},{'r_leg': 159.79520878539563},{'l_leg': 104.93215714235271},{'r_shoulder': 111.07366020936671},{'l_shoulder': 87.13661203740205},{'r_hip': 159.37509565244935},{'l_hip': 133.15352395589764},front
{'r_arm': 121.85733907786519},{'l_arm': 105.89699889597058},{'r_leg': 161.199518696494},{'l_leg': 97.6270030783784},{'r_shoulder': 107.04228464784615},{'l_shoulder': 82.92868319210163},{'r_hip': 154.75773407475518},{'l_hip': 130.9855718757218},front
{'r_arm': 121.10418178300803},{'l_arm': 102.56823122014615},{'r_leg': 162.69516096391902},{'l_leg': 110.38172430660516},{'r_shoulder': 105.44617957016573},{'l_shoulder': 80.6466016403687},{'r_hip': 152.04428701126636},{'l_hip': 142.9256766182037},front
{'r_arm': 120.08748038907504},{'l_arm': 91.4615104649315},{'r_leg': 162.61370767306857},{'l_leg': 126.26616308347022},{'r_shoulder': 111.69751967941298},{'l_shoulder': 70.87630198592889},{'r_hip': 156.08153326308997},{'l_hip': 155.73478939530654},front
{'r_arm': 121.75740114319989},{'l_arm': 82.9808643559168},{'r_leg': 164.40469294132163},{'l_leg': 133.9232413373824},{'r_shoulder': 111.20668394226192},{'l_shoulder': 63.34434356433129},{'r_hip': 154.22084985119747},{'l_hip': 162.66474524210332},front
{'r_arm': 122.92575100882989},{'l_arm': 90.01410427336755},{'r_leg': 163.3484835699291},{'l_leg': 129.08776381628135},{'r_shoulder': 110.36822704201953},{'l_shoulder': 66.4160785732267},{'r_hip': 155.8514735408922},{'l_hip': 159.96104084754384},front
{'r_arm': 123.366217403808},{'l_arm': 96.89863275248898},{'r_leg': 162.8728703058019},{'l_leg': 126.01808754734252},{'r_shoulder': 110.26705481031827},{'l_shoulder': 73.82296987552427},{'r_hip': 156.34174587333544},{'l_hip': 158.09445575256393},front
{'r_arm': 112.97780943922044},{'l_arm': 101.93937372989085},{'r_leg': 160.8167528793428},{'l_leg': 124.56760685520099},{'r_shoulder': 105.50133832118593},{'l_shoulder': 81.34332226605737},{'r_hip': 158.12412441172444},{'l_hip': 159.27571227654886},front
{'r_arm': 106.15484478943164},{'l_arm': 94.93515998455145},{'r_leg': 160.1401248441995},{'l_leg': 120.05320463506132},{'r_shoulder': 101.92644304650419},{'l_shoulder': 77.10680190502529},{'r_hip': 157.94245063987947},{'l_hip': 155.8766181506128},front
{'r_arm': 97.95088493687713},{'l_arm': 75.84393963520472},{'r_leg': 160.1397729722026},{'l_leg': 119.50190314965401},{'r_shoulder': 95.54742546465377},{'l_shoulder': 63.16644232889588},{'r_hip': 155.2247751805346},{'l_hip': 156.54892522772877},front
{'r_arm': 94.34023703676627},{'l_arm': 70.87683739285801},{'r_leg': 155.80972283138345},{'l_leg': 108.56235392558226},{'r_shoulder': 90.3859526458931},{'l_shoulder': 55.57776346653589},{'r_hip': 154.36967236191308},{'l_hip': 149.1082496491878},front
{'r_arm': 98.13550552390163},{'l_arm': 76.3427780175406},{'r_leg': 147.79097328243557},{'l_leg': 88.11224417824495},{'r_shoulder': 87.73492407774408},{'l_shoulder': 59.62236483779232},{'r_hip': 156.37421032068485},{'l_hip': 128.8013366228003},front
