{'r_arm': 61.949485075929},{'l_arm': 134.16031006635245},{'r_leg': 164.1020264076002},{'l_leg': 116.16746078784777},{'r_shoulder': 30.54624086728958},{'l_shoulder': 87.33065058968651},{'r_hip': 145.2437160872617},{'l_hip': 100.42392478072499},diagonal
{'r_arm': 63.518051096530556},{'l_arm': 134.13190808355748},{'r_leg': 166.20454487311056},{'l_leg': 120.7684810955402},{'r_shoulder': 33.46982732225215},{'l_shoulder': 86.85184644727052},{'r_hip': 138.5778510010615},{'l_hip': 105.26820156789681},diagonal
{'r_arm': 64.05251679393373},{'l_arm': 134.81164627304932},{'r_leg': 166.6014713346777},{'l_leg': 125.89389632731813},{'r_shoulder': 33.63246384396829},{'l_shoulder': 85.49211240795904},{'r_hip': 137.85291161788177},{'l_hip': 109.8923053653659},diagonal
{'r_arm': 65.17045366087304},{'l_arm': 135.74035486534495},{'r_leg': 167.35313246608814},{'l_leg': 130.54317379901607},{'r_shoulder': 32.81352945015635},{'l_shoulder': 84.25949959896043},{'r_hip': 137.5417557778069},{'l_hip': 112.30633201571901},diagonal
{'r_arm': 65.35415257608854},{'l_arm': 136.0675178709225},{'r_leg': 168.2102836565619},{'l_leg': 133.48981488777633},{'r_shoulder': 32.88372904874229},{'l_shoulder': 84.28790295971774},{'r_hip': 136.54875605371305},{'l_hip': 112.30518943803649},diagonal
{'r_arm': 65.23230998117785},{'l_arm': 134.2038426569722},{'r_leg': 168.85902769592857},{'l_leg': 135.22662593919225},{'r_shoulder': 33.424527992854394},{'l_shoulder': 85.8475219740526},{'r_hip': 135.359797105123},{'l_hip': 111.15742105566132},diagonal
{'r_arm': 64.93468097943676},{'l_arm': 133.58055913297486},{'r_leg': 168.8261914494852},{'l_leg': 133.88920665599264},{'r_shoulder': 34.06887715764941},{'l_shoulder': 86.51344870600511},{'r_hip': 134.9936921948241},{'l_hip': 107.5839404277765},diagonal
{'r_arm': 64.3386155890844},{'l_arm': 132.47841613936632},{'r_leg': 168.92157811849842},{'l_leg': 131.6527779295821},{'r_shoulder': 34.09245457329348},{'l_shoulder': 86.67491845442942},{'r_hip': 135.24834222735475},{'l_hip': 105.7194693474935},diagonal
{'r_arm': 62.52053739567616},{'l_arm': 128.004459352701},{'r_leg': 166.73617589192716},{'l_leg': 128.12997120030278},{'r_shoulder': 34.683336419024585},{'l_shoulder': 85.76680771177378},{'r_hip': 138.47251599678532},{'l_hip': 100.09977371958206},diagonal
{'r_arm': 61.2369396647355},{'l_arm': 123.71495264635617},{'r_leg': 166.77263670806457},{'l_leg': 119.48846651348178},{'r_shoulder': 35.51302754923545},{'l_shoulder': 86.42646496636684},{'r_hip': 138.31445471739016},{'l_hip': 94.6970823318109},diagonal
{'r_arm': 60.557124064429004},{'l_arm': 116.82575131549815},{'r_leg': 165.29619706012758},{'l_leg': 116.0672743093059},{'r_shoulder': 35.87565235435488},{'l_shoulder': 86.61949141422586},{'r_hip': 141.19991527865332},{'l_hip': 98.4488842629318},diagonal
{'r_arm': 58.29672196087825},{'l_arm': 111.65824461770623},{'r_leg': 166.00697386944765},{'l_leg': 114.86745174720735},{'r_shoulder': 36.98655366181295},{'l_shoulder': 89.14775634952365},{'r_hip': 139.4361891545323},{'l_hip': 101.9220625472789},diagonal
{'r_arm': 52.27629310075989},{'l_arm': 91.49984198982446},{'r_leg': 169.80535433600798},{'l_leg': 142.8513747149998},{'r_shoulder': 43.62148892927438},{'l_shoulder': 80.48377344638759},{'r_hip': 123.19942302747465},{'l_hip': 138.2236214617127},diagonal
{'r_arm': 70.0920102041421},{'l_arm': 88.63553542332352},{'r_leg': 172.15013266322728},{'l_leg': 154.16996321366221},{'r_shoulder': 30.561490230686633},{'l_shoulder': 82.67939495111531},{'r_hip': 120.26444251149314},{'l_hip': 146.22215925384884},diagonal
{'r_arm': 90.71057254783445},{'l_arm': 88.9642964024475},{'r_leg': 172.15891808291175},{'l_leg': 154.69401779871902},{'r_shoulder': 30.029917112103895},{'l_shoulder': 76.76081331175257},{'r_hip': 119.20344689423145},{'l_hip': 147.0720522921748},diagonal
{'r_arm': 124.55777742554605},{'l_arm': 93.43609164711178},{'r_leg': 172.93415206633895},{'l_leg': 153.78764875703075},{'r_shoulder': 53.309395413401965},{'l_shoulder': 66.7120614621976},{'r_hip': 116.63651664816767},{'l_hip': 147.9428694429969},diagonal
{'r_arm': 140.96414548451898},{'l_arm': 101.96599233571297},{'r_leg': 172.45388596162405},{'l_leg': 155.96195144991535},{'r_shoulder': 68.12301315068052},{'l_shoulder': 51.72004600749543},{'r_hip': 117.31349588891968},{'l_hip': 150.01928136516466},diagonal
{'r_arm': 139.21105594382487},{'l_arm': 122.53789093403496},{'r_leg': 172.04443424413046},{'l_leg': 156.73346971895694},{'r_shoulder': 74.92060854086304},{'l_shoulder': 23.789867529571207},{'r_hip': 118.4679830887281},{'l_hip': 153.57341365249872},diagonal
{'r_arm': 138.64304399393666},{'l_arm': 131.9564369796077},{'r_leg': 172.05255465689194},{'l_leg': 157.4067058020204},{'r_shoulder': 78.35649745071262},{'l_shoulder': 17.852626607941044},{'r_hip': 119.2797118803975},{'l_hip': 154.95499848584276},diagonal
{'r_arm': 140.38341045258898},{'l_arm': 138.40590172841632},{'r_leg': 171.48097539774645},{'l_leg': 153.43113499008564},{'r_shoulder': 83.16324337494908},{'l_shoulder': 22.116750867677116},{'r_hip': 120.30974593148682},{'l_hip': 152.61363937579597},diagonal
